"","codigo_postal","reportes"
"1","00000",275
"2","01000",11
"3","01010",5
"4","01030",4
"5","01050",1
"6","01060",1
"7","01080",12
"8","01090",1
"9","01110",1
"10","01120",1
"11","01140",1
"12","01150",2
"13","01180",4
"14","01219",7
"15","01220",1
"16","01260",3
"17","01270",1
"18","01290",1
"19","01329",1
"20","01340",2
"21","01400",2
"22","01420",1
"23","01430",1
"24","01480",3
"25","01538",1
"26","01550",1
"27","01580",2
"28","01600",4
"29","01620",1
"30","01700",3
"31","01710",1
"32","01720",2
"33","01729",5
"34","01730",3
"35","01750",1
"36","01780",7
"37","01790",1
"38","01810",3
"39","01820",1
"40","01870",2
"41","01900",29
"42","02000",1
"43","02070",1
"44","02080",1
"45","02150",1
"46","02300",3
"47","02320",1
"48","02490",1
"49","02710",1
"50","02719",1
"51","02720",1
"52","02810",1
"53","02820",1
"54","02860",4
"55","02980",1
"56","02990",3
"57","03000",3
"58","03020",2
"59","03100",21
"60","03200",4
"61","03230",5
"62","03240",3
"63","03300",7
"64","03310",3
"65","03320",1
"66","03340",3
"67","03400",2
"68","03430",1
"69","03500",4
"70","03520",1
"71","03530",1
"72","03540",1
"73","03570",1
"74","03580",1
"75","03590",3
"76","03650",2
"77","03700",1
"78","03710",2
"79","03730",1
"80","03800",5
"81","03810",2
"82","03820",2
"83","03910",3
"84","03920",1
"85","03930",1
"86","04010",2
"87","04040",1
"88","04100",1
"89","04120",2
"90","04200",1
"91","04270",1
"92","04280",1
"93","04300",1
"94","04310",5
"95","04330",1
"96","04340",1
"97","04360",7
"98","04369",1
"99","04370",2
"100","04380",6
"101","04410",1
"102","04470",2
"103","04480",1
"104","04500",5
"105","04530",3
"106","04600",2
"107","04610",1
"108","04620",3
"109","04700",1
"110","04719",1
"111","04730",6
"112","04739",2
"113","04800",3
"114","04870",3
"115","04890",4
"116","04909",1
"117","04910",2
"118","04920",8
"119","04930",1
"120","05109",1
"121","05110",1
"122","05120",1
"123","05129",1
"124","05230",1
"125","05260",1
"126","05330",1
"127","05349",1
"128","05370",1
"129","05700",1
"130","06000",6
"131","06100",3
"132","06140",1
"133","06200",1
"134","06240",1
"135","06300",3
"136","06400",2
"137","06430",2
"138","06450",3
"139","06470",1
"140","06500",2
"141","06600",5
"142","06700",7
"143","06720",3
"144","06760",2
"145","06780",3
"146","06800",2
"147","06820",1
"148","06850",2
"149","06860",1
"150","06880",2
"151","06900",2
"152","06920",1
"153","07000",2
"154","07020",1
"155","07070",2
"156","07300",3
"157","07340",4
"158","07369",2
"159","07420",1
"160","07580",1
"161","07650",1
"162","07700",2
"163","07760",1
"164","07770",1
"165","07790",2
"166","07800",1
"167","07820",2
"168","07840",1
"169","07860",1
"170","07870",1
"171","07880",1
"172","07918",1
"173","07969",2
"174","07970",1
"175","07979",2
"176","08010",1
"177","08020",1
"178","08100",4
"179","08200",2
"180","08230",1
"181","08400",5
"182","08500",4
"183","08830",1
"184","09070",1
"185","09089",1
"186","09100",1
"187","09140",1
"188","09208",1
"189","09210",1
"190","09230",3
"191","09250",1
"192","09360",1
"193","09400",1
"194","09410",2
"195","09440",2
"196","09620",1
"197","09730",1
"198","09810",1
"199","09830",1
"200","09836",2
"201","09837",1
"202","09860",2
"203","09885",1
"204","09930",1
"205","09970",3
"206","10000",3
"207","10100",3
"208","10200",5
"209","10400",4
"210","10500",1
"211","10600",1
"212","10700",5
"213","10740",1
"214","11000",44
"215","11100",6
"216","11200",3
"217","11220",4
"218","11230",1
"219","11250",1
"220","11280",1
"221","11290",1
"222","11300",6
"223","11310",1
"224","11320",7
"225","11330",1
"226","11450",1
"227","11470",1
"228","11500",2
"229","11510",2
"230","11520",6
"231","11529",1
"232","11530",3
"233","11550",15
"234","11560",1
"235","11590",5
"236","11700",5
"237","11800",6
"238","11810",2
"239","11820",3
"240","11830",1
"241","11840",2
"242","11850",7
"243","11860",1
"244","11870",3
"245","11910",3
"246","11920",1
"247","11950",10
"248","13099",1
"249","13360",1
"250","14000",5
"251","14010",3
"252","14020",5
"253","14030",3
"254","14050",13
"255","14060",1
"256","14080",7
"257","14090",4
"258","14100",1
"259","14130",5
"260","14140",3
"261","14200",15
"262","14210",3
"263","14240",3
"264","14250",8
"265","14260",2
"266","14265",1
"267","14267",1
"268","14275",1
"269","14300",3
"270","14310",1
"271","14320",1
"272","14336",2
"273","14356",1
"274","14357",2
"275","14370",12
"276","14376",1
"277","14380",5
"278","14387",1
"279","14388",1
"280","14390",9
"281","14400",2
"282","14420",1
"283","14610",7
"284","14630",1
"285","14650",1
"286","14735",1
"287","14738",1
"288","15000",1
"289","15300",1
"290","15390",1
"291","15430",1
"292","15510",2
"293","15520",1
"294","15600",1
"295","15640",1
"296","15700",1
"297","15730",1
"298","15800",1
"299","15860",2
"300","15960",2
"301","16010",7
"302","16020",6
"303","16034",1
"304","16035",2
"305","16459",1
"306","16500",1
"307","16749",1
"308","52105",1
"309","52764",1
"310","52780",1
"311","52786",1
"312","52787",1
"313","52927",2
"314","53000",2
"315","53050",1
"316","53100",6
"317","53160",1
"318","53200",1
"319","53310",1
"320","53370",1
"321","53398",4
"322","53489",1
"323","53910",1
"324","54000",1
"325","54015",2
"326","54020",3
"327","54080",1
"328","54150",1
"329","54180",1
"330","54720",1
"331","54730",1
"332","54745",6
"333","54769",2
"334","54879",1
"335","54900",3
"336","54913",1
"337","54949",1
"338","55000",1
"339","55070",1
"340","55280",2
"341","55349",2
"342","55390",1
"343","55700",1
"344","55719",1
"345","55760",1
"346","56400",1
"347","56615",2
"348","56619",1
"349","57100",4
"350","57120",1
"351","57170",3
"352","57185",1
"353","57200",2
"354","57310",1
